iter	Passed	Remaining
0	72	72749
1	86	42982
2	97	32533
3	123	30782
4	143	28510
5	156	25982
6	170	24166
7	181	22539
8	191	21045
9	205	20319
10	218	19652
11	234	19291
12	249	18939
13	259	18276
14	268	17636
15	278	17134
16	287	16643
17	297	16224
18	307	15869
19	317	15551
20	326	15241
21	337	14986
22	346	14726
23	359	14636
24	370	14459
25	380	14252
26	391	14099
27	402	13974
28	419	14059
29	439	14197
30	450	14092
31	469	14187
32	486	14254
33	501	14252
34	516	14251
35	531	14229
36	546	14211
37	557	14102
38	568	13997
39	578	13877
40	588	13760
41	598	13640
42	610	13584
43	620	13483
44	631	13403
45	641	13300
46	651	13206
47	660	13102
48	670	13007
49	680	12928
50	690	12850
51	700	12779
52	710	12697
53	719	12610
54	731	12573
55	743	12529
56	754	12476
57	764	12414
58	774	12357
59	784	12286
60	792	12206
61	802	12141
62	817	12165
63	827	12100
64	837	12047
65	847	11990
66	856	11929
67	866	11872
68	876	11820
69	885	11768
70	895	11713
71	905	11667
72	914	11614
73	924	11568
74	933	11518
75	943	11467
76	953	11425
77	962	11378
78	976	11378
79	986	11343
80	996	11303
81	1005	11260
82	1017	11240
83	1032	11261
84	1043	11233
85	1053	11192
86	1062	11154
87	1072	11119
88	1087	11129
89	1102	11144
90	1113	11123
91	1123	11089
92	1134	11064
93	1143	11024
94	1154	10999
95	1164	10968
96	1177	10962
97	1187	10929
98	1198	10903
99	1207	10868
100	1220	10867
101	1231	10839
102	1244	10834
103	1253	10799
104	1267	10799
105	1280	10801
106	1291	10780
107	1313	10849
108	1329	10871
109	1342	10861
110	1356	10863
111	1378	10927
112	1397	10968
113	1414	10994
114	1435	11048
115	1458	11114
116	1475	11138
117	1488	11128
118	1501	11119
119	1516	11120
120	1527	11099
121	1545	11122
122	1558	11114
123	1570	11097
124	1580	11064
125	1590	11029
126	1600	10999
127	1610	10968
128	1620	10938
129	1629	10906
130	1643	10902
131	1653	10871
132	1665	10855
133	1675	10827
134	1684	10796
135	1694	10764
136	1704	10734
137	1714	10707
138	1724	10680
139	1735	10659
140	1746	10641
141	1756	10612
142	1765	10581
143	1778	10569
144	1790	10556
145	1800	10530
146	1810	10505
147	1820	10479
148	1830	10451
149	1839	10426
150	1853	10423
151	1863	10398
152	1875	10385
153	1886	10361
154	1896	10336
155	1904	10306
156	1914	10279
157	1924	10255
158	1934	10229
159	1943	10202
160	1953	10180
161	1963	10158
162	1972	10129
163	1982	10105
164	1992	10083
165	2003	10067
166	2016	10056
167	2027	10040
168	2038	10023
169	2055	10035
170	2066	10020
171	2081	10018
172	2092	10002
173	2103	9984
174	2116	9976
175	2128	9965
176	2138	9941
177	2148	9922
178	2161	9913
179	2171	9892
180	2181	9872
181	2189	9841
182	2200	9825
183	2210	9803
184	2220	9781
185	2230	9760
186	2245	9761
187	2258	9752
188	2269	9736
189	2280	9721
190	2298	9734
191	2319	9759
192	2331	9749
193	2346	9747
194	2359	9741
195	2376	9747
196	2387	9732
197	2399	9720
198	2410	9700
199	2420	9682
200	2430	9662
201	2444	9658
202	2457	9649
203	2473	9652
204	2485	9638
205	2497	9627
206	2508	9610
207	2522	9604
208	2538	9607
209	2550	9594
210	2562	9581
211	2581	9594
212	2594	9586
213	2607	9575
214	2621	9571
215	2634	9562
216	2648	9557
217	2669	9574
218	2682	9565
219	2697	9562
220	2708	9546
221	2720	9534
222	2735	9531
223	2748	9520
224	2757	9499
225	2771	9490
226	2788	9496
227	2800	9481
228	2817	9486
229	2833	9486
230	2850	9490
